family,name,param_a,param_b,h_x,omega_tv,omega_hellinger,annotation
iid_bernoulli,iid_p=0.05,0.0500,,0.286397,0.000000,0.000000,
iid_bernoulli,iid_p=0.06,0.0600,,0.327445,0.000000,0.000000,
iid_bernoulli,iid_p=0.07,0.0700,,0.365924,0.000000,0.000000,
iid_bernoulli,iid_p=0.08,0.0800,,0.402179,0.000000,0.000000,
iid_bernoulli,iid_p=0.09,0.0900,,0.436470,0.000000,0.000000,
iid_bernoulli,iid_p=0.10,0.1000,,0.468996,0.000000,0.000000,
iid_bernoulli,iid_p=0.11,0.1100,,0.499916,0.000000,0.000000,
iid_bernoulli,iid_p=0.12,0.1200,,0.529361,0.000000,0.000000,
iid_bernoulli,iid_p=0.13,0.1300,,0.557438,0.000000,0.000000,
iid_bernoulli,iid_p=0.14,0.1400,,0.584239,0.000000,0.000000,
iid_bernoulli,iid_p=0.15,0.1500,,0.609840,0.000000,0.000000,
iid_bernoulli,iid_p=0.16,0.1600,,0.634310,0.000000,0.000000,
iid_bernoulli,iid_p=0.17,0.1700,,0.657705,0.000000,0.000000,
iid_bernoulli,iid_p=0.18,0.1800,,0.680077,0.000000,0.000000,
iid_bernoulli,iid_p=0.19,0.1900,,0.701471,0.000000,0.000000,
iid_bernoulli,iid_p=0.20,0.2000,,0.721928,0.000000,0.000000,
iid_bernoulli,iid_p=0.21,0.2100,,0.741483,0.000000,0.000000,
iid_bernoulli,iid_p=0.22,0.2200,,0.760168,0.000000,0.000000,
iid_bernoulli,iid_p=0.23,0.2300,,0.778011,0.000000,0.000000,
iid_bernoulli,iid_p=0.24,0.2400,,0.795040,0.000000,0.000000,
iid_bernoulli,iid_p=0.25,0.2500,,0.811278,0.000000,0.000000,
iid_bernoulli,iid_p=0.26,0.2600,,0.826746,0.000000,0.000000,
iid_bernoulli,iid_p=0.27,0.2700,,0.841465,0.000000,0.000000,
iid_bernoulli,iid_p=0.28,0.2800,,0.855451,0.000000,0.000000,
iid_bernoulli,iid_p=0.29,0.2900,,0.868721,0.000000,0.000000,
iid_bernoulli,iid_p=0.30,0.3000,,0.881291,0.000000,0.000000,
iid_bernoulli,iid_p=0.31,0.3100,,0.893173,0.000000,0.000000,
iid_bernoulli,iid_p=0.32,0.3200,,0.904381,0.000000,0.000000,
iid_bernoulli,iid_p=0.33,0.3300,,0.914926,0.000000,0.000000,
iid_bernoulli,iid_p=0.34,0.3400,,0.924819,0.000000,0.000000,
iid_bernoulli,iid_p=0.35,0.3500,,0.934068,0.000000,0.000000,
iid_bernoulli,iid_p=0.36,0.3600,,0.942683,0.000000,0.000000,
iid_bernoulli,iid_p=0.37,0.3700,,0.950672,0.000000,0.000000,
iid_bernoulli,iid_p=0.38,0.3800,,0.958042,0.000000,0.000000,
